A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.001312,-6.477E-4,-0.001509,3.961E-4,-0.001812,1.733E-4,-0.001476,-2.319E-5,0.001967,-7.563E-5,3.32E-4,-2.28E-4,-5.035E-4,2.632E-4,-1.655E-5,1.233E-4,junk
0.00209,-6.352E-4,-6.072E-4,3.527E-4,-6.59E-4,1.667E-4,-5.127E-4,-4.175E-5,0.002472,-1.135E-4,6.648E-4,-2.13E-4,2.233E-4,2.783E-4,3.977E-4,1.466E-4,junk
0.001212,-6.544E-4,-0.002084,3.407E-4,-0.002131,1.264E-4,-0.00171,-7.149E-5,0.001704,-8.02E-5,1.83E-4,-2.058E-4,-8.911E-4,2.893E-4,-2.001E-4,1.461E-4,junk
0.001334,-6.27E-4,-3.924E-4,4.275E-4,-0.001038,1.815E-4,-8.908E-4,-2.493E-5,0.00207,-9.285E-5,5.569E-4,-2.534E-4,2.097E-4,2.355E-4,2.924E-4,1.137E-4,junk
0.00223,-6.254E-4,-5.987E-5,3.423E-4,-8.636E-5,1.331E-4,-9.718E-5,-5.336E-5,0.002411,-1.612E-5,7.31E-4,-2.325E-4,5.206E-4,2.649E-4,5.388E-4,1.462E-4,junk
0.001175,-6.871E-4,-0.002006,3.056E-4,-0.001996,1.391E-4,-0.001528,-6.01E-5,0.001501,-6.839E-6,2.411E-4,-2.631E-4,-8.1E-4,2.74E-4,-1.359E-4,1.317E-4,junk
0.002097,-6.478E-4,3.351E-4,3.991E-4,-3.18E-5,1.813E-4,-4.221E-5,-3.831E-5,0.002191,-3.082E-5,8.155E-4,-2.895E-4,7.29E-4,2.581E-4,5.868E-4,1.129E-4,junk
0.002259,-6.831E-4,-5.734E-4,3.215E-4,-4.502E-4,1.406E-4,-2.974E-4,-6.584E-5,0.002118,-3.533E-5,6.487E-4,-2.816E-4,2.048E-4,2.714E-4,3.431E-4,1.471E-4,junk
0.001307,-7.14E-4,-0.00142,3.273E-4,-0.001609,1.613E-4,-0.00126,-5.248E-5,0.001555,-8.022E-5,3.382E-4,-2.975E-4,-3.664E-4,2.318E-4,-1.894E-5,1.207E-4,junk
0.001699,-6.89E-4,-3.256E-4,3.069E-4,-3.541E-4,1.323E-4,-3.714E-4,-6.448E-5,0.001907,-3.575E-5,6.295E-4,-2.783E-4,3.856E-4,2.686E-4,3.469E-4,1.555E-4,junk
6.494E-4,-6.988E-4,-0.001947,2.786E-4,-0.001935,1.146E-4,-0.001542,-1.043E-4,9.955E-4,-1.675E-5,2.163E-4,-3.167E-4,-7.298E-4,2.84E-4,-2.216E-4,1.501E-4,junk
